correlation_name,HEK Titer (mg/L),HEK Titer (mg/L) p-value,Fab Tm by DSF (°C),Fab Tm by DSF (°C) p-value,SGAC-SINS AS100 ((NH4)2SO4 mM),SGAC-SINS AS100 ((NH4)2SO4 mM) p-value,HIC Retention Time (Min)a,HIC Retention Time (Min)a p-value,SMAC Retention Time (Min)a,SMAC Retention Time (Min)a p-value,Slope for Accelerated Stability,Slope for Accelerated Stability p-value,Poly-Specificity Reagent (PSR) SMP Score (0-1),Poly-Specificity Reagent (PSR) SMP Score (0-1) p-value,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average p-value,CIC Retention Time (Min),CIC Retention Time (Min) p-value,CSI-BLI Delta Response (nm),CSI-BLI Delta Response (nm) p-value,ELISA,ELISA p-value,BVP ELISA,BVP ELISA p-value
pearson,-0.29579644879366884,0.00044919687097183693,-0.1833676255052878,0.031967399218973035,0.03878508864479996,0.6527265436237355,-0.015190225572695488,0.860154020812021,-0.13375704083443482,0.11917357478906371,-0.07474707610217488,0.38534451096156286,-0.02241500110692321,0.7948717831287647,-0.061237323101809044,0.4771681492040859,-0.15029729950810666,0.07959546476415005,-0.025439304295146497,0.7679335851083025,-0.06997803244460812,0.4164681993484338,-0.10570410867569638,0.21894215781141796
spearman,-0.2653172662273414,0.0017281840531965511,-0.1414688479055154,0.09915118556598027,0.07202167161964568,0.4029552880287115,0.015604326367783743,0.8563821165544934,-0.03512002063152929,0.6836932513164704,0.04171907414467052,0.6283533078187248,-0.0912297390837019,0.2890329343124438,-0.16740272517208052,0.05055168311949524,-0.1465947938912132,0.08738171298513374,-0.17672787947255295,0.038839461511840034,-0.07392144417271827,0.3906297444229543,-0.10245592255491057,0.23350998145437787
kendal tau,-0.17711464147702874,0.0021380566332376448,-0.09868734721782799,0.09054458099027189,0.052794146677153375,0.3907927862317958,0.012882447739290329,0.8233026515121857,-0.01911717599235041,0.7404691648477012,0.029206487073171312,0.6127525079200826,-0.06502219313345364,0.2986452837559719,-0.11315599318720768,0.05080430948298918,-0.10026838490414305,0.0822086834749067,-0.126797293787682,0.03760886554030569,-0.04572778016316015,0.42794714797935907,-0.06623369662269943,0.2509157042070269
