correlation_name,HEK Titer (mg/L),HEK Titer (mg/L) p-value,Fab Tm by DSF (°C),Fab Tm by DSF (°C) p-value,SGAC-SINS AS100 ((NH4)2SO4 mM),SGAC-SINS AS100 ((NH4)2SO4 mM) p-value,HIC Retention Time (Min)a,HIC Retention Time (Min)a p-value,SMAC Retention Time (Min)a,SMAC Retention Time (Min)a p-value,Slope for Accelerated Stability,Slope for Accelerated Stability p-value,Poly-Specificity Reagent (PSR) SMP Score (0-1),Poly-Specificity Reagent (PSR) SMP Score (0-1) p-value,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average p-value,CIC Retention Time (Min),CIC Retention Time (Min) p-value,CSI-BLI Delta Response (nm),CSI-BLI Delta Response (nm) p-value,ELISA,ELISA p-value,BVP ELISA,BVP ELISA p-value
pearson,-0.1097357032823578,0.20177401627968006,0.07752269407385182,0.36789577306949806,0.1303467711863843,0.12897017565856353,0.009273458825240378,0.9143520090316981,-0.1322066823332621,0.12355326778600524,-0.09733699941375046,0.25782339479559824,-0.1028465010414206,0.23172318981077156,-0.14500870050904796,0.09089792813591747,-0.2091536742199506,0.014173241649774295,0.020621971373131796,0.8109599591935559,-0.0009931390481419263,0.9908102591035024,-0.05593046323212394,0.5162353464254913
spearman,-0.10475199283140738,0.22314377790697057,0.053952596069719035,0.5312040495170305,0.1006199717484968,0.24203830492950118,-0.03466461315887954,0.6875794022375339,-0.01627422085609869,0.850287172574064,0.07109370807089897,0.4090586610782623,-0.14118942274104218,0.09982706776373558,-0.1571064069292789,0.06673756900490768,-0.17029880873253925,0.046636024226231663,-0.20381165163576706,0.016902277101994018,-0.10317452909440514,0.2302299842330979,-0.1275833624053018,0.1373529864347908
kendal tau,-0.07063117217689995,0.22079394326154178,0.03506712117861214,0.5475624337579218,0.07019881041687427,0.25382948217879875,-0.028126677564117217,0.6258781250756644,-0.013961982466323334,0.8088490534521872,0.04402448419117735,0.4454966688118601,-0.09929745773093307,0.11246427661340849,-0.09956432956319608,0.08569996780007004,-0.11035963563325382,0.05575704062321507,-0.14014437734428012,0.021564968212566565,-0.06547874624302275,0.25633328526043087,-0.08083302035152784,0.16115426215191808
