correlation_name,HEK Titer (mg/L),HEK Titer (mg/L) p-value,Fab Tm by DSF (°C),Fab Tm by DSF (°C) p-value,SGAC-SINS AS100 ((NH4)2SO4 mM),SGAC-SINS AS100 ((NH4)2SO4 mM) p-value,HIC Retention Time (Min)a,HIC Retention Time (Min)a p-value,SMAC Retention Time (Min)a,SMAC Retention Time (Min)a p-value,Slope for Accelerated Stability,Slope for Accelerated Stability p-value,Poly-Specificity Reagent (PSR) SMP Score (0-1),Poly-Specificity Reagent (PSR) SMP Score (0-1) p-value,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average p-value,CIC Retention Time (Min),CIC Retention Time (Min) p-value,CSI-BLI Delta Response (nm),CSI-BLI Delta Response (nm) p-value,ELISA,ELISA p-value,BVP ELISA,BVP ELISA p-value
pearson,-0.08007178169233464,0.35230721585480573,0.15838753360395852,0.06451863748488681,0.15124730636383174,0.07769028872833761,0.051370758400197065,0.5510657762988547,-0.13261716362310635,0.12238176270177076,-0.05410356694072158,0.5300538606581745,-0.08864331655524925,0.3029789620265744,-0.1418634629259941,0.09820283553363653,-0.20127271304674985,0.01835192985535233,0.10069697497294451,0.2416763143090052,0.07279049970657622,0.39793969052012823,0.03241297308622632,0.7069118405300859
spearman,-0.05227565478746242,0.5440636014163378,0.14009837865574584,0.10250097098367017,0.10743212985836942,0.21146065585494966,-0.05188607698335151,0.5470728223082935,-0.00389237172181999,0.9639943065677109,0.1983184492258065,0.020173075926081648,-0.11010564077974877,0.20024871791869348,-0.152976205801951,0.0743174375387527,-0.18352059925143596,0.03182208479263323,-0.14598611922338703,0.08871803061431749,-0.028595030522523195,0.740117762413143,-0.01714677080429743,0.8423616943736095
kendal tau,-0.0369257191927866,0.5220931893237893,0.09304186640888733,0.11055366605167327,0.07669655154637008,0.21250040108767054,-0.03564143874536991,0.5367108440718358,-0.0040811948747714365,0.9436265931113418,0.12627510587518184,0.028644314338667872,-0.07409505729160996,0.2362676174231193,-0.10258469925742088,0.07661672580835753,-0.12989801470451082,0.024347545559208837,-0.1037850807590646,0.08880006889862622,-0.0184628595963933,0.7489220321617489,-0.013633192011479462,0.8131808186425427
