correlation_name,HEK Titer (mg/L),HEK Titer (mg/L) p-value,Fab Tm by DSF (°C),Fab Tm by DSF (°C) p-value,SGAC-SINS AS100 ((NH4)2SO4 mM),SGAC-SINS AS100 ((NH4)2SO4 mM) p-value,HIC Retention Time (Min)a,HIC Retention Time (Min)a p-value,SMAC Retention Time (Min)a,SMAC Retention Time (Min)a p-value,Slope for Accelerated Stability,Slope for Accelerated Stability p-value,Poly-Specificity Reagent (PSR) SMP Score (0-1),Poly-Specificity Reagent (PSR) SMP Score (0-1) p-value,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) ∆λmax (nm) Average p-value,CIC Retention Time (Min),CIC Retention Time (Min) p-value,CSI-BLI Delta Response (nm),CSI-BLI Delta Response (nm) p-value,ELISA,ELISA p-value,BVP ELISA,BVP ELISA p-value
pearson,-0.27699302585075347,0.0010500051877734954,-0.1730797907045564,0.043116860985137416,0.03736945290078186,0.6646210545506551,-0.006411029243789156,0.9407300003335723,-0.1439305817452072,0.09335158946976864,-0.08562256644486704,0.319817921886054,-0.07306533391731333,0.3961558226154321,-0.05708639704208098,0.5075883617750756,-0.16177332712422074,0.058942953405394446,-0.053322953926170605,0.5360145071092134,-0.09906626168691486,0.24942294941323556,-0.14819843735340116,0.08393778852485038
spearman,-0.24517893479194275,0.003881175805323802,-0.12251107906713558,0.15381208460115373,0.09090047343212057,0.29078418414553386,-0.007271284725888162,0.9327944564334537,-0.024462669520287146,0.7766041525807044,0.013912580828421837,0.8718111894136507,-0.14093198966536402,0.10045296569394005,-0.18245029230923615,0.03285065178372646,-0.1770380482345819,0.03849283628770399,-0.23345152277824033,0.006042129024752155,-0.13465846509978158,0.11668297489545096,-0.1700559230216624,0.046954417288178875
kendal tau,-0.16251610133104336,0.004843201230877836,-0.08370510968640854,0.15112190026456257,0.06648581548573382,0.27981205834446354,-0.0025764895478580657,0.9643784451152319,-0.01310278354531882,0.82040487969223,0.00558359311692981,0.9229140868642203,-0.09929745773093307,0.11246427661340855,-0.11768654772854488,0.04222166663712253,-0.12045088636236458,0.03681159322489863,-0.16499756741518695,0.006820958815227211,-0.08694718763417776,0.13174290742058292,-0.1065965328141662,0.06463161909888446
